"UniprotID","EntrezGeneSymbol","TargetFullName","ACME_fdr","ACME_est","ACME_ci_low","ACME_ci_up","ACME_p","ADE_est","ADE_p","prop_med","prop_ci_low","prop_ci_up","total_effect","total_effect_p"
"Q99584","S100A13","Protein S100-A13",0.0992307692307692,0.00833113124755906,0.00113309987530046,0.0191588795115189,0.028,-0.287949219659939,0,-0.0297946792171483,-0.0701439721218826,-0.00412613166276954,-0.27961808841238,0
"Q13572","ITPK1","Inositol-tetrakisphosphate 1-kinase",0.0992307692307692,0.0045649038147113,0.000557046160081706,0.010881616935523,0.03,-0.0828707327061498,0,-0.058295836712743,-0.148801283168582,-0.00673578466514066,-0.0783058288914385,0
"O75347","TBCA","Tubulin-specific chaperone A",0.104428571428571,0.00552387409996153,0.000570831196876876,0.0146889375737097,0.034,-0.220729628944028,0,-0.0256678735378801,-0.0686835541730752,-0.00271305807562916,-0.215205754844067,0
"O43264","ZW10","Centromere/kinetochore protein zw10 homolog",0.136588235294118,0.00445762581005239,-6.87783041500819e-05,0.0104572228671126,0.054,-0.115746403877089,0,-0.0400545849049331,-0.09609079490419,0.00061677290330387,-0.111288778067037,0
"O00161","SNAP23","Synaptosomal-associated protein 23",0.136588235294118,0.00356427988272142,-0.00012405271130265,0.0093652328762618,0.054,0.029609762749764,0.002,0.107441831018542,-0.00380624715338399,0.33483993269884,0.0331740426324854,0
"P02741","CRP","C-reactive protein",0.136588235294118,0.0196036230191023,-0.000674418278935994,0.0347446613717776,0.054,-0.136694165354176,0,-0.167422770688031,-0.437411347819062,0.00584279482688455,-0.117090542335074,0
"Q9BPW9","DHRS9","Dehydrogenase/reductase SDR family member 9",0.172,-0.00282621681997487,-0.00711495499028242,0.000166096577950307,0.072,-0.027005861867888,0.002,0.094737508892557,-0.00545751406653861,0.272718746375487,-0.0298320786878628,0
"P31751","AKT2","RAC-beta serine/threonine-protein kinase",0.181052631578947,0.00252444405044678,-0.000193715446377847,0.00696701576798101,0.08,-0.0324073014336505,0,-0.0844780008174755,-0.305148471231373,0.00622820972823006,-0.0298828573832037,0
"O75427","LRCH4","Leucine-rich repeat and calponin homology domain-containing protein 4:Calponin Homology",0.2107,-0.00393610913096603,-0.00865240043337295,0.000484146817829885,0.098,0.038955380468361,0,-0.112398373256924,-0.312053671764514,0.0149123576357221,0.035019271337395,0
"P36404","ARL2","ADP-ribosylation factor-like protein 2",0.211090909090909,0.00475547065308054,-0.000973582614695486,0.0113405607138663,0.106,-0.133397609659062,0,-0.0369666634108083,-0.0885165062992983,0.00767036983243225,-0.128642139005981,0
"Q99081","TCF12","Transcription factor 12",0.211090909090909,0.00996559681824133,-0.00158134632481048,0.0225969952683985,0.108,-0.130991979779765,0,-0.0823423502742338,-0.20746166526638,0.0145707323399678,-0.121026382961524,0
"Q96FI4","NEIL1","Endonuclease 8-like 1",0.27295652173913,-0.00371127040517497,-0.0081830061591166,0.000854805909229151,0.146,-0.0309680429605059,0,0.107016836407369,-0.0250774677465349,0.330818524752667,-0.0346793133656809,0
"Q12778","FOXO1","Forkhead box protein O1A",0.351166666666667,0.00298440582953231,-0.00138810653077566,0.00782600150175507,0.196,-0.12542219740441,0,-0.0243748747110255,-0.0661709471367213,0.0120891524195413,-0.122437791574878,0
"Q0P6D2","DIPK1C","Protein FAM69C",0.414074074074074,0.00208159489747843,-0.000865811289828546,0.00619692690867674,0.254,-0.0470640017661523,0,-0.046275756287467,-0.139763414200396,0.0194587611023538,-0.0449824068686738,0
"Q12904","AIMP1","Endothelial monocyte-activating polypeptide 2",0.414074074074074,0.00168358470172475,-0.00147660566227838,0.00590951505647715,0.26,-0.0457892868428889,0,-0.0381715882526095,-0.138100713483858,0.0335374980444885,-0.0441057021411641,0
"Q6E0U4","DMKN","Dermokine",0.414074074074074,-0.00170062828987124,-0.00434908490968103,0.00104297577541305,0.246,-0.0243170885204799,0,0.0653642401547951,-0.0389452476125259,0.199264442235296,-0.0260177168103511,0
"Q8NFX7","STXBP6","Syntaxin-binding protein 6",0.4515,0.00306663133725785,-0.00216263603441761,0.00782109566455737,0.294,-0.0446343886789933,0,-0.07377427923394,-0.251805650650482,0.0581344683017416,-0.0415677573417354,0.002
"P61106","RAB14","Ras-related protein Rab-14",0.649448275862069,-0.0016797139814336,-0.00693365802681077,0.00267917370832748,0.438,-0.0437547303754507,0,0.03697005664336,-0.0700857564907596,0.153116395298531,-0.0454344443568843,0
"Q15238","PSG5","Pregnancy-specific beta-1-glycoprotein 5",0.665066666666667,0.00311567278086831,-0.00469891866840008,0.0104977186293056,0.464,-0.0590790674730641,0,-0.0556734057682673,-0.235983922736705,0.0750853479632422,-0.0559633946921957,0
